age_BP_1950,.fitted,.se,.lower_ci,.upper_ci
-17.289543,0.493223774,0.037065842,0.42057606,0.565871489
47.09671792,0.490318868,0.034906919,0.421902565,0.558735171
111.4829788,0.487459606,0.033042688,0.422697127,0.552222085
175.8692398,0.48470387,0.031510781,0.422943874,0.546463865
240.2555007,0.482110181,0.030326996,0.422670361,0.54155
304.6417616,0.479737063,0.029480107,0.421957115,0.537517011
369.0280225,0.477643037,0.028931114,0.420939097,0.534346978
433.4142834,0.475886628,0.028617885,0.419796604,0.531976651
497.8005443,0.474526356,0.028464224,0.418737503,0.530315209
562.1868053,0.473615974,0.02839382,0.417965109,0.52926684
626.5730662,0.473178727,0.028356202,0.417601593,0.528755861
690.9593271,0.473225847,0.028321206,0.417717304,0.52873439
755.345588,0.473768538,0.028271078,0.418358243,0.529178833
819.7318489,0.474817767,0.028199034,0.419548675,0.530086859
884.1181098,0.476368501,0.028114301,0.421265483,0.531471518
948.5043708,0.478389899,0.028039376,0.423433732,0.533346066
1012.890632,0.480848781,0.02799228,0.425984921,0.535712641
1077.276893,0.483711963,0.027982065,0.428868125,0.538555802
1141.663154,0.486942462,0.028009293,0.432045257,0.541839667
1206.049414,0.490490245,0.028070074,0.43547391,0.545506579
1270.435675,0.494302481,0.028152728,0.439124148,0.549480814
1334.821936,0.498326413,0.028240552,0.442975949,0.553676877
1399.208197,0.502511069,0.028325476,0.446994156,0.558027981
1463.594458,0.506808106,0.028412587,0.451120459,0.562495753
1527.980719,0.51116958,0.028509646,0.4552917,0.56704746
1592.36698,0.515552787,0.02862822,0.459442507,0.571663068
1656.753241,0.519922131,0.028781942,0.463510561,0.576333702
1721.139502,0.52424252,0.028977396,0.467447867,0.581037173
1785.525763,0.528478862,0.029211599,0.47122518,0.585732545
1849.912024,0.532599364,0.029474245,0.474830905,0.590367822
1914.298285,0.536581959,0.029753742,0.478265697,0.594898221
1978.684545,0.540406374,0.0300324,0.481543951,0.599268797
2043.070806,0.544052334,0.030286141,0.484692588,0.603412081
2107.457067,0.547500691,0.030488362,0.487744599,0.607256783
2171.843328,0.550739394,0.030622715,0.490719975,0.610758812
2236.229589,0.553759158,0.030678422,0.493630555,0.613887761
2300.61585,0.556550706,0.030645832,0.496485978,0.616615433
2365.002111,0.559106472,0.030520578,0.499287238,0.618925706
2429.388372,0.561425726,0.030316115,0.502007233,0.620844219
2493.774633,0.563509434,0.030051103,0.504610353,0.622408514
2558.160894,0.565358565,0.02974301,0.507063336,0.623653794
2622.547155,0.566974088,0.029405972,0.509339442,0.624608733
2686.933416,0.56835697,0.029049249,0.511421487,0.625292452
2751.319676,0.56950818,0.028676332,0.513303601,0.625712758
2815.705937,0.570428686,0.028284784,0.514991527,0.625865844
2880.092198,0.571119456,0.027866919,0.516501299,0.625737613
2944.478459,0.571581459,0.02741138,0.517856141,0.625306777
3008.86472,0.571815663,0.026905718,0.519081424,0.624549902
3073.250981,0.571823036,0.026340102,0.520197385,0.623448687
3137.637242,0.571604771,0.025712867,0.521208478,0.622001064
3202.023503,0.571168713,0.025046986,0.522077523,0.620259902
3266.409764,0.570535911,0.024395473,0.522721663,0.618350159
3330.796025,0.569732872,0.023811656,0.523062884,0.616402859
3395.182286,0.568786249,0.023328805,0.523062632,0.614509866
3459.568547,0.567722741,0.022955485,0.522730817,0.612714665
3523.954807,0.566569048,0.022681956,0.522113232,0.611024865
