age_BP_1950,.fitted,.se,.lower_ci,.upper_ci
-17.289543,278.611673,9.372802467,260.2413177,296.9820282
47.09671792,277.785601,9.015375849,260.115789,295.4554129
111.4829788,276.9611171,8.684730881,259.9393574,293.9828768
175.8692398,276.1403496,8.383604024,259.7087877,292.5719116
240.2555007,275.3254587,8.113958457,259.4223924,291.2285251
304.6417616,274.5186048,7.876817796,259.0803256,289.956884
369.0280225,273.7219481,7.67215715,258.6847964,288.7590998
433.4142834,272.9376489,7.498868624,258.2401365,287.6351613
497.8005443,272.1678675,7.35482102,257.7526831,286.5830518
562.1868053,271.4147641,7.23702164,257.2304623,285.5990659
626.5730662,270.6804991,7.141874288,256.6826827,284.6783154
690.9593271,269.9672327,7.065516355,256.1190751,283.8153902
755.345588,269.2771252,7.004212897,255.5491202,283.0051302
819.7318489,268.6123363,6.954801253,254.9811764,282.2434963
884.1181098,267.9749886,6.915922114,254.4200304,281.5299469
948.5043708,267.3671445,6.888125878,253.8666658,280.8676231
1012.890632,266.7908608,6.871808427,253.3223638,280.2593579
1077.276893,266.2481947,6.866684626,252.7897401,279.7066492
1141.663154,265.7410303,6.871743367,252.2726608,279.2093998
1206.049414,265.2706595,6.885467802,251.7753906,278.7659284
1270.435675,264.8382471,6.905496415,251.3037229,278.3727714
1334.821936,264.4448896,6.928973879,250.8643504,278.0254289
1399.208197,264.0905638,6.954112533,250.4607537,277.7203739
1463.594458,263.7739916,6.980822755,250.0918305,277.4561528
1527.980719,263.4937898,7.009466916,249.7554871,277.2320925
1592.36698,263.2485751,7.040343761,249.4497549,277.0473953
1656.753241,263.0369641,7.073369802,249.173414,276.9005142
1721.139502,262.8575735,7.10787173,248.926401,276.7887461
1785.525763,262.7090201,7.142487414,248.710002,276.7080382
1849.912024,262.5898605,7.175403413,248.5263282,276.6533928
1914.298285,262.4984748,7.204939756,248.3770524,276.6198972
1978.684545,262.4332104,7.229120673,248.2643943,276.6020266
2043.070806,262.3924148,7.245640703,248.19122,276.5936097
2107.457067,262.3744856,7.252260767,248.1603157,276.5886555
2171.843328,262.3781373,7.24840483,248.1715249,276.5847497
2236.229589,262.4022077,7.234607494,248.2226376,276.5817779
2300.61585,262.445535,7.211848873,248.3105709,276.5804991
2365.002111,262.5069573,7.181400759,248.4316704,276.5822441
2429.388372,262.5853127,7.144696358,248.5819651,276.5886602
2493.774633,262.6794393,7.10321837,248.7573871,276.6014915
2558.160894,262.7881753,7.058402847,248.95396,276.6223907
2622.547155,262.9103588,7.011557798,249.1679581,276.6527596
2686.933416,263.044828,6.963796701,249.3960373,276.6936187
2751.319676,263.1904209,6.915988051,249.6353334,276.7455084
2815.705937,263.3459757,6.868722647,249.8835267,276.8084247
2880.092198,263.5103305,6.822300534,250.1388672,276.8817939
2944.478459,263.6823235,6.776739416,250.4001583,276.9644887
3008.86472,263.8607927,6.731806006,250.6666954,277.05489
3073.250981,264.0445763,6.687071424,250.9381572,277.1509955
3137.637242,264.2325125,6.641991434,251.2144485,277.2505765
3202.023503,264.4234393,6.596012332,251.4954927,277.3513859
3266.409764,264.6161949,6.5487036,251.7809717,277.4514181
3330.796025,264.8096174,6.499919075,252.0700101,277.5492247
3395.182286,265.002545,6.449988966,252.3607989,277.644291
3459.568547,265.1938214,6.399989851,252.6500717,277.737571
3523.954807,265.3823816,6.352311323,252.9320802,277.832683
3588.341068,265.5674234,6.310198795,253.199661,277.9351858
3652.727329,265.7483056,6.276050514,253.4474726,278.0491385
3717.11359,265.9245057,6.250707205,253.6733447,278.1756667
3781.499851,266.0957432,6.233781767,253.8777554,278.3137309
3845.886112,266.2618833,6.224044587,254.0629801,278.4607865
