age_BP_1950,.derivative,.se,.crit,.lower_ci,.upper_ci,PSI_fitted,signif
-17.289543,-4.54E-05,5.88E-05,1.959963985,-0.000160683,6.99E-05,0.493223774,#NV
47.09671792,-4.50E-05,5.86E-05,1.959963985,-0.000159883,6.99E-05,0.490318868,#NV
111.4829788,-4.37E-05,5.78E-05,1.959963985,-0.000156897,6.96E-05,0.487459606,#NV
175.8692398,-4.19E-05,5.63E-05,1.959963985,-0.000152343,6.84E-05,0.48470387,#NV
240.2555007,-3.87E-05,5.43E-05,1.959963985,-0.000145052,6.76E-05,0.482110181,#NV
304.6417616,-3.47E-05,5.17E-05,1.959963985,-0.000135907,6.66E-05,0.479737063,#NV
369.0280225,-3.02E-05,4.87E-05,1.959963985,-0.000125592,6.52E-05,0.477643037,#NV
433.4142834,-2.43E-05,4.55E-05,1.959963985,-0.000113399,6.48E-05,0.475886628,#NV
497.8005443,-1.76E-05,4.23E-05,1.959963985,-0.000100553,6.53E-05,0.474526356,#NV
562.1868053,-1.07E-05,3.97E-05,1.959963985,-8.84E-05,6.71E-05,0.473615974,#NV
626.5730662,-2.95E-06,3.78E-05,1.959963985,-7.70E-05,7.11E-05,0.473178727,#NV
690.9593271,4.63E-06,3.67E-05,1.959963985,-6.73E-05,7.66E-05,0.473225847,#NV
755.345588,1.22E-05,3.63E-05,1.959963985,-5.89E-05,8.34E-05,0.473768538,#NV
819.7318489,2.04E-05,3.67E-05,1.959963985,-5.15E-05,9.23E-05,0.474817767,#NV
884.1181098,2.80E-05,3.73E-05,1.959963985,-4.51E-05,0.000101042,0.476368501,#NV
948.5043708,3.49E-05,3.78E-05,1.959963985,-3.92E-05,0.000108948,0.478389899,#NV
1012.890632,4.16E-05,3.80E-05,1.959963985,-3.30E-05,0.00011618,0.480848781,#NV
1077.276893,4.76E-05,3.80E-05,1.959963985,-2.68E-05,0.000121999,0.483711963,#NV
1141.663154,5.28E-05,3.76E-05,1.959963985,-2.09E-05,0.000126419,0.486942462,#NV
1206.049414,5.74E-05,3.69E-05,1.959963985,-1.50E-05,0.000129743,0.490490245,#NV
1270.435675,6.12E-05,3.62E-05,1.959963985,-9.88E-06,0.000132185,0.494302481,#NV
1334.821936,6.39E-05,3.58E-05,1.959963985,-6.19E-06,0.000134012,0.498326413,#NV
1399.208197,6.61E-05,3.57E-05,1.959963985,-3.85E-06,0.000136055,0.502511069,#NV
1463.594458,6.75E-05,3.60E-05,1.959963985,-3.04E-06,0.00013807,0.506808106,#NV
1527.980719,6.80E-05,3.65E-05,1.959963985,-3.52E-06,0.000139497,0.51116958,#NV
1592.36698,6.82E-05,3.70E-05,1.959963985,-4.29E-06,0.000140746,0.515552787,#NV
1656.753241,6.77E-05,3.74E-05,1.959963985,-5.50E-06,0.000140991,0.519922131,#NV
1721.139502,6.64E-05,3.74E-05,1.959963985,-6.87E-06,0.000139721,0.52424252,#NV
1785.525763,6.51E-05,3.71E-05,1.959963985,-7.62E-06,0.000137741,0.528478862,#NV
1849.912024,6.29E-05,3.65E-05,1.959963985,-8.73E-06,0.000134459,0.532599364,#NV
1914.298285,6.06E-05,3.57E-05,1.959963985,-9.41E-06,0.000130546,0.536581959,#NV
1978.684545,5.80E-05,3.46E-05,1.959963985,-9.79E-06,0.000125866,0.540406374,#NV
2043.070806,5.50E-05,3.34E-05,1.959963985,-1.04E-05,0.000120451,0.544052334,#NV
2107.457067,5.19E-05,3.23E-05,1.959963985,-1.14E-05,0.000115086,0.547500691,#NV
2171.843328,4.87E-05,3.14E-05,1.959963985,-1.29E-05,0.00011025,0.550739394,#NV
2236.229589,4.52E-05,3.08E-05,1.959963985,-1.53E-05,0.000105579,0.553759158,#NV
2300.61585,4.14E-05,3.06E-05,1.959963985,-1.86E-05,0.000101477,0.556550706,#NV
2365.002111,3.79E-05,3.09E-05,1.959963985,-2.26E-05,9.84E-05,0.559106472,#NV
2429.388372,3.41E-05,3.14E-05,1.959963985,-2.74E-05,9.57E-05,0.561425726,#NV
2493.774633,3.05E-05,3.20E-05,1.959963985,-3.22E-05,9.31E-05,0.563509434,#NV
2558.160894,2.69E-05,3.25E-05,1.959963985,-3.67E-05,9.05E-05,0.565358565,#NV
2622.547155,2.33E-05,3.27E-05,1.959963985,-4.09E-05,8.74E-05,0.566974088,#NV
2686.933416,1.96E-05,3.28E-05,1.959963985,-4.47E-05,8.39E-05,0.56835697,#NV
2751.319676,1.61E-05,3.27E-05,1.959963985,-4.79E-05,8.01E-05,0.56950818,#NV
2815.705937,1.25E-05,3.23E-05,1.959963985,-5.09E-05,7.59E-05,0.570428686,#NV
