age_BP_1950,.derivative,.se,.crit,.lower_ci,.upper_ci,d2H.C16.phytol.fitted,signif
-17.289543,-0.012827312,0.009297233,1.959963985,-0.031049555,0.005394931,278.611673,#NV
47.09671792,-0.01282125,0.009284434,1.959963985,-0.031018407,0.005375907,277.785601,#NV
111.4829788,-0.012788182,0.009215878,1.959963985,-0.03085097,0.005274607,276.9611171,#NV
175.8692398,-0.01269545,0.009101499,1.959963985,-0.030534061,0.005143161,276.1403496,#NV
240.2555007,-0.012601498,0.008947767,1.959963985,-0.0301388,0.004935804,275.3254587,#NV
304.6417616,-0.012456851,0.008745507,1.959963985,-0.02959773,0.004684028,274.5186048,#NV
369.0280225,-0.012272598,0.008511741,1.959963985,-0.028955303,0.004410107,273.7219481,#NV
433.4142834,-0.012074753,0.008248906,1.959963985,-0.028242311,0.004092805,272.9376489,#NV
497.8005443,-0.011834047,0.007969305,1.959963985,-0.027453598,0.003785503,272.1678675,#NV
562.1868053,-0.011551951,0.007682777,1.959963985,-0.026609918,0.003506015,271.4147641,#NV
626.5730662,-0.011251575,0.007411961,1.959963985,-0.025778752,0.003275601,270.6804991,#NV
690.9593271,-0.010905287,0.007172781,1.959963985,-0.02496368,0.003153105,269.9672327,#NV
755.345588,-0.010525227,0.006999152,1.959963985,-0.024243313,0.003192859,269.2771252,#NV
819.7318489,-0.010117057,0.00691548,1.959963985,-0.023671148,0.003437035,268.6123363,#NV
884.1181098,-0.009682847,0.006888854,1.959963985,-0.023184753,0.003819059,267.9749886,#NV
948.5043708,-0.009197595,0.006861612,1.959963985,-0.022646107,0.004250916,267.3671445,#NV
1012.890632,-0.008699953,0.006820583,1.959963985,-0.022068049,0.004668143,266.7908608,#NV
1077.276893,-0.00816321,0.006734134,1.959963985,-0.02136187,0.00503545,266.2481947,#NV
1141.663154,-0.00759515,0.006610624,1.959963985,-0.020551735,0.005361435,265.7410303,#NV
1206.049414,-0.007015209,0.006438209,1.959963985,-0.019633867,0.005603449,265.2706595,#NV
1270.435675,-0.00641986,0.006242695,1.959963985,-0.018655317,0.005815598,264.8382471,#NV
1334.821936,-0.005806624,0.00608307,1.959963985,-0.017729221,0.006115974,264.4448896,#NV
1399.208197,-0.00521272,0.006002645,1.959963985,-0.016977689,0.006552248,264.0905638,#NV
1463.594458,-0.004637094,0.005978846,1.959963985,-0.016355417,0.007081229,263.7739916,#NV
1527.980719,-0.004077125,0.005970401,1.959963985,-0.015778895,0.007624645,263.4937898,#NV
1592.36698,-0.003548477,0.005952208,1.959963985,-0.01521459,0.008117637,263.2485751,#NV
1656.753241,-0.003036003,0.005905742,1.959963985,-0.014611045,0.008539038,263.0369641,#NV
1721.139502,-0.002541144,0.005820448,1.959963985,-0.013949012,0.008866723,262.8575735,#NV
1785.525763,-0.002082775,0.005689386,1.959963985,-0.013233767,0.009068217,262.7090201,#NV
1849.912024,-0.001623976,0.005532984,1.959963985,-0.012468425,0.009220473,262.5898605,#NV
1914.298285,-0.001205588,0.005346875,1.959963985,-0.011685271,0.009274095,262.4984748,#NV
