XRF_TrueSurface,age_BP_1950,RABD_660670,RABD_660670norm,RABD_671,RABD_715,RABD_845,RABD_620,RMean,TChl_ug_gsed,TChl_ug_gTOC
#NV,#NV,1.122913023,8.665897442,1.039758605,0.99322807,0.99636007,1.007254837,0.11856007,43.48141409,#NV
14.3,-42.361993,1.129452135,8.863355281,1.043243708,0.994354809,0.996615753,1.007434157,0.116513551,45.74648376,#NV
14.8,-39.854748,1.137604045,9.068244719,1.046533933,0.994218966,0.996859674,1.008174483,0.113834483,48.57020747,#NV
15.3,-37.347503,1.137625057,9.553226667,1.046203563,0.994733149,0.997194276,1.008664644,0.108632272,48.57748595,#NV
15.8,-34.840258,1.131756517,9.421697753,1.045511124,0.995235202,0.99752809,1.010416596,0.110042637,46.544694,#NV
16.3,-32.333013,1.138244719,9.28055236,1.048363933,0.99526691,0.998612045,1.011810225,0.112742719,48.7921293,#NV
16.8,-29.825768,1.13575191,8.766154494,1.048661236,0.995318404,0.999288427,1.013589326,0.120157944,47.92865022,#NV
17.3,-27.318523,1.145665056,9.331565955,1.053174831,0.995188281,0.999670449,1.015332472,0.112420022,51.36244489,#NV
17.8,-24.811278,1.153632889,9.573232,1.055308444,0.994825622,1.000011533,1.015763222,0.110522253,54.1224064,#NV
18.3,-22.304033,1.160543483,9.627145843,1.058877978,0.995211674,1.000554899,1.016991011,0.110187767,56.51615321,#NV
18.8,-19.796788,1.169712022,9.851195618,1.064130674,0.993650124,1.000661213,1.018542809,0.107866393,59.69202505,#NV
19.3,-17.289543,1.15991764,9.226971798,1.059917191,0.994576045,1.000544337,1.017031124,0.114971775,56.29936882,988.9226914
19.8,-14.782298,1.145465955,8.97371764,1.052952247,0.994956584,0.99999391,1.016963146,0.117139674,51.29347866,906.9662923
20.3,-13.6699735,1.152040674,8.956409775,1.057627753,0.995232034,1.000016989,1.018407303,0.118470146,53.57088235,953.5578916
20.8,-13.487596,1.168911011,9.615293708,1.063501124,0.994342472,0.999323618,1.019340337,0.111027955,59.41456439,1064.681738
21.3,-13.3052185,1.15567382,9.443299438,1.057562921,0.994744573,0.998367899,1.018408539,0.112352933,54.82936049,989.1639995
21.8,-13.122841,1.153912111,9.121228556,1.055451333,0.995905511,0.999292244,1.018219778,0.115691944,54.21912562,984.8174665
22.3,-12.9404635,1.15185325,9.36904075,1.054591125,0.996244238,0.999580088,1.0191258,0.111432288,53.50596087,978.5289113
22.8,-12.758086,1.156453933,8.954733258,1.056826966,0.994800697,0.999224933,1.019305843,0.119426202,55.09958203,1014.631839
23.3,-12.5757085,1.14924191,9.070097865,1.05376427,0.995774011,0.998792719,1.019685955,0.116361618,52.60142411,975.3648083
23.8,-12.393331,1.14539618,9.192582135,1.052304494,0.995435573,0.998698831,1.02024809,0.11424373,51.26930934,957.320686
24.3,-12.2109535,1.141235843,9.162354607,1.051374157,0.995807382,0.998496056,1.020851798,0.114325258,49.82821857,936.9728953
24.8,-12.028576,1.142082584,9.098050899,1.051366966,0.995920978,0.998907,1.020043371,0.115368876,50.12151967,949.1813213
25.3,-11.8461985,1.136579213,8.644998764,1.050322584,0.995593472,0.999004,1.019000899,0.121734539,48.21521816,919.6112562
25.8,-11.663821,1.139708444,8.765803,1.050702111,0.995424989,0.997973033,1.019527889,0.120126511,49.29914617,947.0588065
26.3,-11.4814435,1.141476629,8.761526854,1.051576966,0.996894258,0.998506112,1.021389551,0.119885618,49.91162412,965.7822005
26.8,-11.299066,1.150948764,8.041200899,1.061237528,0.994758,0.998074461,1.020032135,0.132787719,53.19265781,1036.792862
27.3,-11.1166885,1.164266517,8.727275169,1.064984719,0.995812708,0.996946371,1.023909213,0.123353461,57.80576734,1135.004267
27.8,-10.934311,1.157312584,8.388550899,1.065952247,0.994875169,0.997064551,1.019071124,0.127948382,55.39700866,1095.777048
28.3,-10.7519335,1.164685506,8.467377079,1.068127753,0.993718337,0.997596225,1.01992191,0.12736636,57.95090002,1154.860503
28.8,-10.569556,1.164118764,8.429922809,1.069572809,0.993677461,0.997048371,1.019897416,0.127794944,57.75458755,1159.614247
29.3,-10.3871785,1.162823933,8.05855618,1.069332472,0.993622303,0.997719708,1.018482472,0.134310674,57.30607349,1159.337922
29.8,-10.204801,1.155518,7.971795222,1.065789333,0.993287089,0.997438322,1.017429889,0.1347442,54.77538623,1117.089901
30.3,-9.674443,1.156893034,8.24482573,1.066115056,0.993829022,0.997168382,1.018456854,0.13012573,55.25168139,1135.977659
30.8,-8.912098,1.159575056,8.12116382,1.068515056,0.993328899,0.99744873,1.017711236,0.132871034,56.18070174,1164.559963
31.3,-8.149753,1.16208382,8.261365843,1.069937416,0.993721629,0.996873247,1.017406067,0.130819506,57.04970746,1192.361064
31.8,-7.387408,1.162354494,8.390841011,1.069644944,0.993623,0.997326596,1.017845955,0.12851209,57.14346574,1204.288003
32.3,-6.625063,1.152834944,7.767531685,1.066699101,0.993295067,0.99763209,1.019199551,0.138683921,53.84600781,1144.344961
32.8,-5.862718,1.147512809,7.441493933,1.062616629,0.992937955,0.997870202,1.017920449,0.14372791,52.00248426,1114.545936
33.3,-5.100373,1.150163146,7.369615618,1.064083371,0.993793663,0.997931629,1.017994045,0.145597539,52.92052918,1143.930854
33.8,-4.338028,1.149184222,7.563642556,1.063572444,0.992474033,0.997945,1.018063222,0.141513911,52.58144172,1146.414375
