sample,XRF_depth_cm,Phytol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campesterol_plus_x_%,Campestanol_plus_x_%,Stigmasterol_%,unknownM48620.75min_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5unsaturated_C30sterolM498_%,a_Amyrin_plus_22dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%,C13.0.FAME_%,C14.0.FAME_%,C15.0.FAME_%,C16.0.FAME_%,C17.0.FAME_%,C18.0.FAME_%,C20.0.FAME_%,C21.0.FAME_%,C22.0.FAME_%,C23.0.FAME_%,C24.0.FAME_%,C25.0.FAME_%,C26.0.FAME_%,C27.0.FAME_%,C28.0.FAME_%,C29.0.FAME_%,C30.0.FAME_%,C31.0.FAME_%,C32.0.FAME_%,C33.0.FAME_%,C34.0.FAME_%,C36.0.FAME_%
1_A_18-20_EDGE,29.3,9.127323656,1.086528916,0.661051885,1.312488469,1.314892293,0.31970873,0.951914714,0,0.762012536,2.189884607,0.718743685,1.093740391,0.70672456,0.831723462,1.276431093,0.257209279,0.573793036,0.02403825,0,0.733166636,1.262008143,0.027170277,0.64921655,0.254577843,6.190805033,0.289306049,3.293152385,2.649867374,0.527907003,5.482177419,1.348659845,15.4246811,1.321680908,14.66314798,1.350860254,16.79850215,0.55249419,2.519660518,0.178998551,0.826397371,0.068308373,0.379044499,0
7_B_68-70_EDGE,523.8895522,4.922980957,1.43386236,0.598914513,0.833342178,1.315042859,0.518631066,0.695254649,0,0.3773322,4.890867578,1.441890705,0.993909071,2.076129934,1.395326305,1.571949888,1.082220863,0,0.348430159,6.994293885,0.529870749,1.26687279,0.07016676,0.625754021,0.439399635,4.420644889,0.468550818,1.913550419,2.949413856,0.396947355,5.98493725,0.814750088,7.644052062,1.001706962,14.2009828,1.26193573,16.56639974,0.618107049,4.833905784,0.191869475,1.716861036,0.058951201,0.533990359,0
8_A_68-70_EDGE,653.3188679,5.282517834,1.51035544,0.750209445,1.324045147,1.469367176,0.680653603,0.823491494,0.526637094,0.49434331,5.04279859,1.435831323,1.189901736,3.331228035,0.992412826,1.921480153,1.491724411,0.318342187,1.28554102,3.7125431,1.097988659,1.59978438,0.143478029,0.950163899,0.405111421,5.520033968,0.385632446,2.164319171,3.37268201,0.529059215,6.542116293,0.912948805,8.023287305,1.113069643,12.59638678,1.077751186,13.38482393,0.654237259,3.962484871,0.208783856,1.394387051,0.05787306,0.320172837,0
9_A_78-80_EDGE,986.8263158,9.11120326,1.92577005,1.808683231,0.674789825,1.395798132,0.508403293,2.092156582,0,0.178711461,3.512604571,0,2.582072483,1.118487245,0.579271631,1.968907299,0.191036389,0.484985929,1.401960596,0,0.194117621,0.835013894,0.121391655,1.777458008,0.859916028,12.66525445,0.559594478,3.822872305,3.679991523,1.019111009,6.348590578,1.290663439,7.499443109,0.976395882,10.74561734,1.176376354,9.345929463,0.838426899,4.326682759,0.312601053,1.294610422,0.145512106,0.629587643,0
1_A_48-50_EDGE,59.3,11.62576971,1.29722224,1.63198927,1.558143601,2.508291201,0.77784104,0.782764084,0,0.157537426,4.521816424,0,2.756904951,1.752603861,1.124915681,1.700911894,0.632611225,0.461043123,0.347074641,0.223998527,0.563688602,0.77784104,0,0,0.177085548,2.858383096,0.517359796,2.446242292,2.855603728,0.62575521,6.651031427,1.83160456,12.48969283,2.240965996,11.97550946,1.670401123,10.23006535,1.109762572,5.347507091,0.384347109,1.301539074,0.050425705,0.026602538,0.00714695
1_C_18-20_EDGE,229.8,24.32337434,4.446397188,3.0228471,2.231985941,3.057996485,1.054481546,2.231985941,0,1.010544816,20.42179262,2.741652021,7.23198594,3.119507908,2.592267135,7.996485061,10.19332162,0,0.386643234,1.968365554,0.474516696,1.493848858,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
2_C_8-10_EDGE,494.8,4.793180207,1.336760076,0.620489879,0.641311687,1.338842256,0.583010625,0.753749451,0,0.297751855,5.680189231,1.111884549,1.363828426,1.871880542,1.326349171,2.105084792,2.157139311,0.17573606,0.445586692,5.609395083,0.520545201,1.34925316,0.250552101,1.013643378,0.673198539,5.096987448,0.577120333,2.048406869,3.907831449,0.520189622,6.231654368,0.991668693,8.283682991,1.2514583,14.28627162,1.219717089,14.5813428,0.499232284,3.378322933,0.17465805,0.776805108,0.02266648,0.132621292,0
4_B_68-70_EDGE,904.3,1.795024271,0.808502667,0.934599414,0.541474263,0.875259768,0.215106214,0.556309175,0,0.111261835,4.902938193,3.894164224,1.839529005,3.679058009,0.111261835,3.256263037,0.934599414,0.178018936,0.853007401,4.680414525,0.407960062,0.593396453,0.019060619,0.382890674,0.39008336,5.020015614,0.316118568,1.892995189,2.697976679,0.573017352,6.588261012,1.222876571,10.02432719,1.96516181,13.45403984,1.752258292,12.43363739,1.306671368,5.81384844,0.649739341,1.875612864,0.157879467,0.295379656,0
1_B_58-60_EDGE,169.8,7.821636408,1.326884748,1.080130742,0.682065318,1.247737237,0.444622784,1.717966568,0,0.456262124,3.584916687,0.828721,1.894884535,1.403704391,0.409704764,1.517769922,0.670425978,0.141999947,0.321245781,0.141999947,0.225803194,1.096425818,0.108583357,0.767972032,0.666813178,4.652007985,0.602034389,1.774270611,3.057503152,0.915905255,7.506543787,1.34828975,11.13861067,2.643958335,12.94684838,2.043594457,14.36075217,0.885557599,4.998917888,0.338278919,1.77603393,0.076472381,0.376143885,0
2_A_58-60_EDGE,345.3,4.746659797,0.99139097,0.625583607,0.625583607,0.736916283,0.298654321,0.809370881,0,0.387013587,4.403825843,1.272373438,1.035570603,1.161040762,0.853550514,2.283203446,2.155966103,0.056726649,0.02650778,2.228420701,0.245638761,0.673297611,0.074756693,0.543455193,0.439725156,3.637862959,0.38444347,1.36987882,2.56537091,0.684700243,6.300608903,1.197337092,9.193638264,3.192739467,14.89024862,2.070022402,17.63294459,0.897216985,6.281885564,0.368385131,2.017610717,0.099493369,0.540380192,0
2_B_8-10_EDGE,394.8,4.51015361,1.372446317,0.657363306,0.854572298,0.843349022,0.41205456,0.785629317,0,0.375178082,4.505343633,1.327553213,1.194477227,1.045367989,0.925118604,2.217398663,1.827790656,0,0.136282637,2.10356258,0.206828943,0.840142371,0.085750127,0.707021474,0.45561011,4.030867668,0.396163362,1.642320685,3.545840038,0.70418538,6.793278531,1.238761236,8.886982989,2.664204168,14.21555815,1.867317452,17.60791547,0.798944275,5.353043424,0.315974203,1.854694053,0.079521843,0.615432331,0
3_A_98-100_EDGE,657.3,4.54393662,1.204844481,0.630304336,0.780698668,1.405933532,0.402178102,0.669170287,0,0.376830742,4.410440527,1.441419835,0.787457964,3.391476681,0.882088105,1.706722196,1.307923742,0.154111945,1.414382652,3.114345552,0.93954212,1.424521595,0.054846262,0.563702348,0.311158337,5.05523443,0.374126871,2.16998609,3.958560388,0.977603226,8.292336197,1.103037884,8.55409103,1.671848053,13.3144954,1.220182802,14.31663291,0.763325997,4.171916534,0.288131281,1.480765349,0.088256428,0.2814325,0
4_B_18-20_EDGE,854.3,4.004574055,1.114675253,0.626549488,0.81354294,0.930110287,0.429842091,0.541552465,0,0.11413886,8.868832293,1.253098977,1.707225932,4.125998375,0.580408247,3.358596677,1.08310493,0.469912116,1.595515558,3.601445314,0.641120407,2.647050165,0.013064463,0.702138929,0.297545676,5.671799882,0.294406154,2.502199123,2.46067641,0.545061548,5.21231563,1.121417043,9.89486222,1.503223442,9.861846602,1.348880484,10.79661399,1.227553146,5.63604984,0.445001941,1.585559941,0.11930184,0.253187267,0
6_B_68-70_EDGE,256.1181818,5.763669069,1.05233977,0.643019702,0.420382773,0.833851355,0.319435594,0.883633526,0,0.253059366,5.416576713,0.933415696,1.468574029,1.032980037,1.024683009,2.366035934,2.209775234,0,0.175620435,2.744933565,0.225402605,0.800663242,0.045122216,0.721292503,0.401252102,4.531198615,0.393959623,1.519197473,2.786638671,0.583646955,7.101341804,1.195137922,9.711800802,1.452322122,14.34617143,1.699396295,16.35715547,1.001224266,5.38963945,0.24504388,1.504281038,0.053616297,0.392509414,0
1_A_28-30_EDGE,39.3,9.578639065,2.376096513,2.074716624,2.288740023,2.970120641,1.078852644,1.817014979,0,0.262069468,4.166904545,0,2.751729416,1.834486278,1.607359405,1.882532347,0.511035463,0.104827787,0.183448628,0.155931334,1.058323869,1.433956774,0,0.316842698,0.477568022,6.591028523,0.921958798,3.814646,3.666269985,0.57894294,6.995790923,1.544953748,10.37839546,1.502929237,11.21519932,1.107198421,7.682006958,0.598296333,3.073503191,0.231872085,1.055589372,0.036679288,0.057875862,0.015667033
7_B_78-80_EDGE,536.5761194,4.80317269,1.336389142,0.601095534,0.68496933,1.772532879,0.559158637,0.724110435,0,0.343882562,5.074364629,1.218965828,1.137887826,2.748264699,3.461191961,1.906730952,3.430438236,0,0.271191939,7.327773934,0.659807191,1.171437344,0.061926236,0.484950176,0.30321272,3.389659098,0.359077079,1.77981469,2.951183314,0.386058375,5.090907105,0.743352549,7.253808662,1.154728176,13.69211655,1.290228961,16.81017977,0.64505505,3.698101673,0.137759131,0.527621037,0,0,0.0068939
8_A_78-80_EDGE,664.9789474,3.516773812,1.059802961,0.766738476,0.466858539,1.455099242,0.541828523,0.558867156,0,0.395296281,4.511829968,1.622077844,1.039356601,3.59855925,0.483897172,1.598223758,1.185888844,0.189128824,0.31691857,2.160498641,0.916678445,1.444876062,0.053657912,0.749261933,0.314411978,5.440106754,0.395223652,2.549855157,2.736943276,0.554378475,4.734368793,0.888408721,7.883555542,1.359636921,13.37121386,1.540878537,20.28554901,1.151111622,6.153769974,0.319219103,1.623768967,0.027283684,0,0.038197158
