age_before_2024,Phytol_ug_gTOC,Brassicasterol_ug_gTOC,Campasterol_plusX_co_eluting_ug_gTOC,Stigmasterol_ug_gTOC,Sitostanol_ug_gTOC,Dinostanol_plus_co_eluter_ug_gTOC,age_group,comment
17.1,70.33074521,12.7,2.2,9.2,4.8,0.9,short_core,all lipid data assigned to the age_group 'short_core' are from Naeher et al. (2012): https://doi.org/10.1016/j.orggeochem.2012.05.014
19.8,55.13531336,15.3,5.4,12.4,9.4,2.3,short_core,
22.5,49.82859734,17.1,6.1,13.6,10.9,2.5,short_core,
25.1,52.75112049,13.7,6.1,13.1,12.3,2.1,short_core,
27.8,58.65759491,10.9,4.9,12.7,11.4,1.4,short_core,
30.5,53.07574021,8.3,5.6,13.5,17.3,2.2,short_core,
33.1,56.24358586,7.5,4.9,12.3,16.8,2.2,short_core,
35.8,64.58293881,6.4,3.2,10.6,13.9,1.3,short_core,
38.5,56.77255936,6.8,5.6,12.2,16,2.7,short_core,
41.1,61.69884926,7,3.6,12.3,11.8,3.7,short_core,
43.8,73.10435883,4.9,0.6,7.9,12.5,1,short_core,
46.5,67.50484492,5.6,3.2,9.9,11.6,2.2,short_core,
49.1,65.37788088,5.3,5.8,7.8,12.1,3.6,short_core,
51.8,54.46465828,5.6,5.9,13.3,17.1,3.6,short_core,
54.5,71.18874656,4.8,5.1,10.4,7,1.5,short_core,
56.710457,47.28154434,10.25832323,14.75333396,5.017252635,15.46209083,7.227455004,modern_eutrophication,
57.1,70.48292784,3.5,3,10.1,11,2.1,short_core,
59.8,70.34292646,3.3,4.5,10,10.1,1.8,short_core,
62.5,63.98107792,4,2.4,12.5,12.2,4.9,short_core,
63.6128215,63.49816881,9.130892853,9.147616097,6.622405807,7.609077379,3.991839056,modern_eutrophication,
65.1,66.47811976,4.8,5.2,11.4,10.5,1.6,short_core,
67.8,64.45360542,4,3.2,8.6,16.7,3,short_core,
70.5,61.09557627,6,6,10,13.9,2.9,short_core,
73.1,69.47481357,5.5,3.9,8.4,12.1,0.6,short_core,
75.8,70.49252271,6.2,4.4,7.2,11,0.7,short_core,
78.047767,49.09335124,11.73046788,15.22274458,9.312737852,14.10342512,0.537273338,modern_eutrophication,
78.5,61.00149836,4.5,7.7,10.4,12.7,3.7,short_core,
81.1,72.66793401,3.7,4.6,8.4,9,1.6,short_core,
83.8,72.97528341,4.5,4.8,7.6,8.7,1.4,short_core,
86.5,70.19901869,4,3.9,7.6,12.5,1.7,short_core,
89.1,79.83119426,4.6,3,6.1,5.7,0.8,short_core,
91.8,70.18287768,2,2.2,9.9,12.6,3.1,short_core,
94.5,81.52186263,0,0,2.2,12.5,3.8,short_core,
97.1,82.46392779,0,0,0,14.1,3.4,short_core,
99.8,85.00522117,1.3,1.4,6.9,4.2,1.3,short_core,
100.772938,59.03528617,7.912203292,12.73702236,3.974850943,13.99947502,2.341162206,modern_eutrophication,
102.5,83.8748317,0,0,5.7,9.6,0.8,short_core,
105.1,74.25575095,0,2.3,3.7,15.1,4.6,short_core,
115.8,84.83241423,1.7,1.6,5.3,2.1,4.4,short_core,
121.1,82.97901951,3.5,0.8,5.7,5.2,1.8,short_core,
137.1,75.15989181,0.7,0,4.1,14.9,5.2,short_core,
147.8,55.59912795,5.5,2.2,10.5,21.6,4.5,short_core,
155.8,72.52245495,0.7,0,5.6,16.4,4.8,short_core,
165.1,73.21567961,0.8,0,7.6,13.8,4.6,short_core,
581.73121,15.07300989,21.10221385,19.50070655,17.99340556,26.33066415,0,Holocene,
873.23093,55.50148689,8.894295755,10.81373344,6.109759395,16.27466883,2.406055691,Holocene,
1147.98394,40.18625925,6.833179495,19.93469905,6.626530921,22.44203507,3.97729621,Holocene,
1365.21188,36.05772384,7.661528369,17.90095113,8.251885863,23.67333553,6.45457527,Roman_period,
1394.182156,54.32772532,19.88260468,7.40886158,4.907830935,9.281689864,4.191287619,Roman_period,
1577.26506,58.76182055,7.575644043,10.96257887,6.196891813,15.21123383,1.291830893,Roman_period,
1852.97214,57.91106515,5.049982764,9.238193727,12.71975181,14.02964495,1.0513616,Roman_period,
2126.7476,58.4472978,5.994182588,10.81524097,6.990534655,16.00591383,1.746830154,Roman_period,
2374.52796,59.23908344,6.182447038,10.76523995,8.231733678,14.63035019,0.951145698,Holocene,
3181.96384,56.4274705,6.913569269,9.973916652,6.202205228,19.65143162,0.831406722,Holocene,
3238.735032,62.24420958,5.711715764,7.825500337,5.711715764,18.50685856,0,Holocene,
3485.46018,64.39428006,5.546062296,7.884402076,5.45612615,16.24846359,0.470665827,Neolithic,
3521.26196,42.94120766,34.20982876,8.514022159,4.283517998,10.05142342,0,Neolithic,
3553.286158,61.51121606,4.486422668,8.899055489,9.430342384,15.6729634,0,Neolithic,
3572.179666,61.67574478,6.09489115,9.851655955,6.874266598,14.39655323,1.106888278,Neolithic,
3606.042874,53.20134794,5.855096882,11.33108677,9.9410278,19.67144061,0,Neolithic,
3713.150413,58.97374985,7.209882409,10.11996674,6.770400286,16.92600071,0,Neolithic,
3849.041999,52.97868291,12.91397031,10.62999619,6.73772364,16.73962695,0,Neolithic,
4151.487317,56.21524125,8.636936489,11.31935853,8.810368948,14.03068598,0.987408803,Neolithic,
4161.188606,45.85107641,9.729122309,14.44582446,9.980482612,19.38431512,0.609179087,Neolithic,
4375.257538,59.25304979,7.809225475,9.19900289,10.10346121,12.92713595,0.708124683,Neolithic,
4522.82176,60.96736169,7.768266053,8.966356836,9.043653017,12.40603683,0.848325572,Neolithic,
