sample,XRF_true_surface,age_BP_1950,C16.0.Avg.d2H.VSMOW,C16.0.SD.d2H.VSMOW,phytol.Avg.d2H.VSMOW,phytol.SD.d2H.VSMOW,C25_n.alk_d2H_10.V,C25_StdDev.of.d2H.VSMOW2_10.V,epsilon_C16.0.phytol,epsilon_C16.0.C25Alk,epsilon_phytol.C25Alk,comment
1_A_18-20_EDGE,29.3,-10.3871785,-201.4557084,2.255592798,-385.9425876,1.646282893,#NV,#NV,300.4391372,#NV,#NV,d2H C25 n-alkane data are from Santos et al. (2026): https://doi.org/10.1029/2025PA005401
1_A_28-30_EDGE,39.3,4.047767,-194.880067,0.762979509,-379.1048554,2.174158351,#NV,#NV,296.7083734,#NV,#NV,
1_A_48-50_EDGE,59.3,26.772938,-207.4930995,2.116771052,-363.4029876,0.389317377,#NV,#NV,244.9114355,#NV,#NV,
1_A_58-60_EDGE,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
1_A_68-70_EDGE,79.3,443.318086,-207.1263323,0.15743815,#NV,#NV,#NV,#NV,#NV,#NV,#NV,
1_A_78-80_EDGE,89.3,507.73121,-206.9625327,2.820231472,#NV,#NV,-194.35,0.23,#NV,-15.65510172,#NV,
1_A_8-10_EDGE,19.3,-17.289543,-208.4227139,0.564101793,-393.1667414,0.329115624,#NV,#NV,304.4395224,#NV,#NV,
1_A_98-100_EDGE,109.3,799.23093,-205.9082343,1.476713246,-369.4483105,1.852089139,-189.99,3.96,259.3603013,-19.6518985,-221.5507346,
1_B_18-20_EDGE,129.8,1291.21188,-204.5263454,0.229305885,-351.1718418,0.73597444,-195.09,1.23,226.0159251,-11.7234789,-193.9121663,
1_B_28-30_EDGE,139.8,1320.182156,-194.5401615,0.643887118,-355.2112052,0.844698384,-178.51,1.62,249.1839887,-19.51351995,-215.0984251,
1_B_38-40_EDGE,149.8,1503.26506,-177.7738208,0.184579626,#NV,#NV,-174.11,0.82,#NV,-4.43620918,#NV,
1_B_58-60_EDGE,169.8,1778.97214,-187.021465,0.926666793,-349.8998722,2.243737985,-180.64,0.8,250.5435705,-7.788353105,-206.5757081,
1_B_68-70_EDGE,179.8,2052.7476,-187.9532291,0.285992223,-364.0457692,3.486479145,-180.7,1.04,276.8949896,-8.852958745,-223.7834361,
1_B_78-80_EDGE,189.8,2300.52796,#NV,#NV,-357.2317655,0.411777046,#NV,#NV,#NV,#NV,#NV,
