age_BP_1950,C16_alkanol_%,C18_alkanol_%,Phytol_%,C20_alkanol_%,C22_alkanol_%,C24_alkanol_%,C26_alkanol_%,C28_alkanol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campasterol_plusX_co_eluting_%,Campastanol_plusX_%,Stigmasterol_%,C30_alkanol_%,unknown_M486_20.75min_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5_unsaturated_C30_sterol_M498_%,a_Amyrin_plus_22_dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,C32_alkanol_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%,n.alk_C17_%,n.alk_C22_%,n.alk_C23_%,n.alk_C24_plus_x_%,n.alk_C25_%,n.alk_C26_%,n.alk_C27_%,n.alk_C28_%,n.alk_C29_%,n.alk_C30_%,n.alk_C31_plus_x_%,n.alk_C32_plus_x_%,n.alk_C33_plus_x_%,n.alk_C34_%,n.alk_C35_%,C13.0.FAME_%,C14.0.FAME_%,C15.0.FAME_%,C16.0.FAME_%,C17.0.FAME_%,C18.0.FAME_%,C20.0.FAME_%,C21.0.FAME_%,C22.0.FAME_%,C23.0_FAME_%,C24.0.FAME_%,C25.0.FAME_%,C26.0.FAME_%,C27.0.FAME_%,C28.0.FAME_%,C29.0.FAME_%,C30.0.FAME_%,C31.0.FAME_%,C32.0.FAME_%,C33.0.FAME_%,C34.0.FAME_%,C36.0.FAME_%
-17.289543,0.098871364,0.009887136,0.064266386,0.010622334,0.021498184,0.026771323,0.058410159,0.046444189,0.013892694,0.009912488,0.013943397,0.020053141,0.005856227,0.006819589,0.02999098,0.003549228,0.004842162,0.052097603,0,0.021016503,0.012929332,0.010444872,0.015794067,0.008061819,0.009823757,0.004208371,0.000380274,0.002306998,0.020002437,0.01102796,0,0,0.002280452,0.000478387,0.002863265,0.00071123,0.00622044,0.000575758,0.007575164,0.001010398,0.006633913,0.000666073,0.002308675,0.000605392,0.000907383,0,0.002965384,0.002452468,0.04771522,0.003226047,0.026368937,0.017290601,0.002774792,0.026012979,0.005667303,0.055916273,0.005759797,0.053040579,0.009313773,0.060030814,0.004078104,0.02079693,0.001513523,0.00637922,0.00041762,0.001656467,6.17E-05
-10.3871785,0.01200774,0.001987629,0.077804417,0.008995559,0.01700755,0.013278183,0.032703674,0.016228891,0.009261943,0.005635032,0.011188099,0.01120859,0.002725306,0.008114445,0.011065153,0,0.006495655,0.018667323,0.006126816,0.009323416,0.006024361,0.007089894,0.010880734,0.00219254,0.004891207,0.001885174,0.00020491,0,0.006249762,0.010757787,0,0.000135223,0.003658858,0.000947943,0.002996128,0.000828412,0.004794636,0.000517354,0.006624065,0.001353611,0.00570612,0.000755493,0.002233712,0.000899485,0.000955327,0.000231609,0.005534143,0.002170108,0.052772532,0.002466143,0.028071953,0.022588373,0.004500059,0.046731949,0.011496436,0.131485238,0.011266458,0.12499367,0.011515193,0.143196157,0.004709649,0.021478445,0.001525845,0.007044493,0.000582284,0.003231104,0
4.047767,0.096161278,0.007389856,0.068092245,0.008942347,0.025460849,0.021610672,0.033005954,0.024001507,0.0168911,0.014748662,0.016270103,0.021113874,0.007669304,0.012916723,0.016984249,0,0.001862989,0.029621524,0,0.019561384,0.013040922,0.011426332,0.01338247,0.003632828,0.000745196,0.003136031,0.001304092,0.001108478,0.00752337,0.010193654,0.001578251,0.000663369,0.003692542,0.001161681,0.005517592,0.001050072,0.010058994,0.000866152,0.012325765,0.000619354,0.010236626,0.000388275,0.003335706,0.000319109,0.000617782,0,0.002252359,0.003394916,0.046854039,0.006553984,0.027117402,0.026062633,0.004115566,0.049731398,0.010982705,0.073777521,0.010683963,0.079726159,0.007870808,0.054609543,0.004253145,0.021848796,0.001648323,0.007503931,0.000260744,0.000411426,0.000111373
26.772938,0.045658227,0.007139819,0.086465039,0.010856186,0.030994137,0.038646559,0.031360282,0.025209053,0.009647909,0.012137692,0.011588475,0.018655066,0.005785084,0.005821699,0.016732807,0,0.001171663,0.033630378,0,0.020504096,0.013034747,0.008366403,0.012650295,0.004704958,0.003428944,0.002654548,0.002581319,0.001665958,0.004192355,0.005785084,0.000767169,0.00039909,0.002090501,0.00067616,0.003247996,0.000591219,0.009508039,0.000820426,0.014367224,0.000773236,0.009454782,0.000308081,0.003105078,0.000335721,0.000567624,0,0,0.001317049,0.021258825,0.003847791,0.018193585,0.021238154,0.004653967,0.049466118,0.013622303,0.092890347,0.016666872,0.089066179,0.012423375,0.076084683,0.008253704,0.039771337,0.002858528,0.009680015,0.000375034,0.000197853,5.32E-05
507.73121,0.000999742,0.003090113,0.005816683,0.016577548,0.044643045,0.07805262,0.053349893,0.034318432,0.003708136,0.003471833,0.008143357,0.007525334,0.017377342,0.006943666,0.003471833,0,0,0.016832028,0,0.010161019,0.001599588,0.003162822,0.000545314,0.001399639,0,0,0.000781617,0.000927034,0.000345366,0.000363543,0.001247969,0.000876605,0.005452878,0.002258451,0.007805625,0.002161826,0.018880182,0.001548319,0.020873207,0.001289878,0.014093198,0.000564613,0.00479979,0.000689177,0.000975558,0.000130464,0.004478771,0.005304563,0.052876453,0.00683285,0.030230272,0.032453887,0.007855054,0.058616849,0.015429109,0.095840542,0.016809728,0.094931598,0.014173218,0.080223623,0.010693711,0.042053711,0.003886667,0.014633424,0.00109532,0.004163365,0.000162004
799.23093,0,0.001844811,0.064193163,0.016071742,0.039991746,0.049434676,0.035645497,0.032018411,0.013195087,0.00991195,0.010287165,0.012507192,0.00372089,0.007066563,0.018197964,0,0.001156915,0.038365811,0,0.018823324,0.009161518,0.001969883,0.010787453,0.004096105,0.00278285,0.002657778,0.006128524,0.003126798,0.004064837,0.011944368,0.00025998,0.000434915,0.003112706,0.001443107,0.005408018,0.00088305,0.012592269,0.001106456,0.014416533,0.00061646,0.008774974,0.000251607,0.003534842,0.000300519,0.000611173,0.000471211,0.012712019,0.005971039,0.060504339,0.004673876,0.026498932,0.025880135,0.005445595,0.050082582,0.011354399,0.078952682,0.013617988,0.078950904,0.012111003,0.06784189,0.007940344,0.035749776,0.002978407,0.01146909,0.000951312,0.002851269,9.16E-05
1073.98394,0.005196674,0.010567539,0.084685469,0.021657648,0.036115435,0.054463469,0.032138092,0.028944605,0.024735008,0.016809354,0.014399723,0.04200887,0.024618882,0.013964248,0.009522398,0.001596743,0.003425741,0.056844069,0,0.047292639,0.009144985,0.01416747,0.013470709,0.008738542,0.008381452,0.003541867,0.011670743,0.01315136,0.007461147,0.007606305,0.000187379,0.000610881,0.00305377,0.001626905,0.004702198,0.001369259,0.012530965,0.001113512,0.014359809,0.0007837,0.008285187,0.000284234,0.003231653,0.000467181,0.000621009,0,0.002627644,0.002398554,0.044421543,0.003273515,0.021288888,0.023842009,0.004153997,0.038788117,0.006911367,0.044424303,0.007521356,0.044269736,0.006221335,0.040794732,0.004556976,0.018548078,0.001763724,0.0046453,0,0,0
1291.21188,0.00353316,0.00524569,0.031275009,0.013028883,0.035160916,0.053162395,0.027992186,0.025847256,0.013666104,0.009006429,0.006645299,0.01552656,0.016869275,0.007157352,0.004619849,0.0004324,0.001257373,0.026461719,0,0.020533292,0.005496027,0.00685012,0.006895636,0.00064291,0.005598437,0.000682736,0.006525821,0.003971249,0.003288513,0.008841434,6.33E-05,0.000515061,0.002386563,0.000869035,0.003911696,0.001189133,0.010381412,0.000802665,0.01104062,0.000656097,0.005049669,0.000200839,0.002124193,0.000256493,0.00044316,0,0.002102881,0.001816841,0.035855494,0.00300637,0.016911815,0.021624556,0.004681178,0.050054869,0.01237267,0.087123564,0.017754151,0.112829602,0.018085562,0.119824737,0.01096812,0.052919206,0.003992711,0.016742164,0.001100757,0.004032165,9.67E-05
1320.182156,0.002509553,0.004158687,0.076317978,0.014163805,0.039562684,0.070151649,0.024058612,0.027627141,0.017451043,0.009883777,0.027930494,0.010407749,0.004362761,0.006894375,0.017235939,0.000948666,0.002454398,0.034797292,0,0.013038643,0.006028442,0.00783201,0.010700071,0.007004685,0.005887797,0.000523973,0.004627505,0.002029704,0.0055155,0.010959299,0.0004743,0.00031384,0.004632095,0.001355256,0.005177187,0.001612463,0.01453262,0.001201875,0.011440623,0.000382272,0.00473199,0.000511269,0.002297563,0.001036696,0.000284737,0.000479095,0.007777737,0.003488328,0.03980803,0.003047216,0.014880426,0.023454065,0.00439386,0.049218143,0.008947419,0.069551617,0.011117589,0.089720214,0.011719263,0.097952012,0.005506569,0.030189879,0.002133914,0.008868002,0.000550743,0.0020286,0.000118263
1503.26506,0.003124557,0.005234553,0.057653598,0.019820722,0.052918974,0.106793695,0.021989532,0.038795975,0.013873035,0.007991515,0.007432771,0.010755829,0.003903859,0.006080021,0.019372256,0.000610208,0.00205118,0.045037738,0,0.014924356,0.007984163,0.005528629,0.013556903,0.008035626,0.001267468,0.000514633,0.003014279,0.001926198,0.003470097,0.005660963,0,0.000356365,0.002515011,0.000806935,0.003123308,0.00077679,0.012741932,0.00054639,0.007762512,0.000200253,0.003066246,0.000248702,0.001245124,0.000567385,0.000127042,0.000267955,0.006275606,0.002928371,0.035740402,0.002879049,0.012434901,0.021410673,0.003532007,0.047732882,0.00775525,0.062911381,0.01010943,0.084140964,0.011881322,0.103073785,0.006329344,0.038216045,0.001972123,0.013195335,0.0004807,0.003186756,0.000138395
