sample,XRF_true_surface,age_BP_1950,C16_alkanol_ug_gTOC,C18_alkanol_ug_gTOC,Phytol_ug_gTOC,C20_alkanol_ug_gTOC,C22_alkanol_ug_gTOC,C24_alkanol_ug_gTOC,C26_alkanol_ug_gTOC,C28_alkanol_ug_gTOC,Cholesterol_ug_gTOC,Cholestanol_ug_gTOC,Brassicasterol_ug_gTOC,Campesterol_plus_x_ug_gTOC,Campestanol_plus_x_ug_gTOC,Stigmasterol_ug_gTOC,C30_alkanol_ug_gTOC,unknown_M486_20.75min_ug_gTOC,Fungisterol_ug_gTOC,Sitosterol_plus_x_ug_gTOC,Chondrillasterol_ug_gTOC,Sitostanol_ug_gTOC,b_Amyrin_ug_gTOC,unknown_d5_unsaturated_C30_sterol_M498_ug_gTOC,a_Amyrin_plus_22_dihydrochondrillasterol_plus_Lupeol_ug_gTOC,Triterpenoid_mz_189_371_plus_x_ug_gTOC,Dinostanol_plus_x_ug_gTOC,C32_alkanol_ug_gTOC,maybe_Lanosterol_plus_x_ug_gTOC,Friedelin_plus_x_ug_gTOC,Tetrahymanol_ug_gTOC,Diplopterol_ug_gTOC,n.alk_C17_ug_gTOC,n.alk_C22_ug_gTOC,n.alk_C23_ug_gTOC,n.alk_C24_plus_x_ug_gTOC,n.alk_C25_ug_gTOC,n.alk_C26_ug_gTOC,n.alk_C27_ug_gTOC,n.alk_C28_ug_gTOC,n.alk_C29_ug_gTOC,n.alk_C30_ug_gTOC,n.alk_C31_plus_x_ug_gTOC,n.alk_C32_plus_x_ug_gTOC,n.alk_C33_plus_x_ug_gTOC,n.alk_C34_ug_gTOC,n.alk_C35_ug_gTOC,C13.0.FAME_ug_gTOC,C14.0.FAME_ug_gTOC,C15.0.FAME_ug_gTOC,C16.0.FAME_ug_gTOC,C17.0.FAME_ug_gTOC,C18.0.FAME_ug_gTOC,C20.0.FAME_ug_gTOC,C21.0.FAME_ug_gTOC,C22.0.FAME_ug_gTOC,C23.0_FAME_ug_gTOC,C24.0.FAME_ug_gTOC,C25.0.FAME_ug_gTOC,C26.0.FAME_ug_gTOC,C27.0.FAME_ug_gTOC,C28.0.FAME_ug_gTOC,C29.0.FAME_ug_gTOC,C30.0.FAME_ug_gTOC,C31.0.FAME_ug_gTOC,C32.0.FAME_ug_gTOC,C33.0.FAME_ug_gTOC,C34.0.FAME_ug_gTOC,C36.0.FAME_ug_gTOC
1_A_18-20_EDGE,29.3,-10.3871785,107.542093,17.80133622,696.8213775,80.5648103,152.320712,118.9202667,292.8962124,145.3469926,82.95055639,50.46770577,100.2013358,100.3848547,24.4080177,72.67349631,99.10022224,0,58.17550083,167.1857453,54.87216009,83.50111318,53.95456544,63.4975498,97.44855187,19.63652552,43.80596861,16.88374157,1.835189301,0,55.97327367,96.34743829,0,1.211062971,32.76896667,8.489840759,26.83351811,7.419310692,42.94106896,4.633452527,59.32555229,12.12302967,51.10437738,6.766246019,20.00527228,8.055842083,8.55597389,2.074302458,49.56414253,19.43562972,472.6341974,22.08693885,251.4142226,202.3029207,40.30282029,418.5343442,102.9628231,1177.59027,100.9031284,1119.45137,103.1308123,1282.474014,42.17991794,192.3623374,13.66556302,63.0909318,5.214971672,28.93798006,0
7_B_68-70_EDGE,523.8895522,7175.011746,31.00553355,23.71554203,282.9254936,59.51955101,164.0709484,401.1340903,202.8278653,162.502216,82.40458767,34.41983337,47.89247593,75.57598802,29.80591469,39.95653579,62.56473734,0,21.68541781,281.0799261,82.86597954,57.12031329,119.3159371,80.1899067,90.34052781,62.19562384,0,41.89438164,20.02440708,401.9645956,30.45186331,72.80763681,0,1.98111763,24.25800148,8.398879982,35.44632766,5.977966455,48.32257421,6.405545799,100.3834135,3.656821442,63.10663907,0.9813964,12.86606609,2.321145013,3.147798413,4.032509013,35.96230958,25.25245572,254.0560583,26.92778476,109.9724337,169.5038795,22.81270786,343.9565053,46.82398181,439.3064327,57.56846091,816.1356105,72.52390219,952.0769761,35.52283534,277.8063112,11.026808,98.66862378,3.387946806,30.68861879,0
8_A_68-70_EDGE,653.3188679,8488.309903,14.0836686,13.2438168,274.7607457,62.85967683,83.98517973,370.6330586,175.2706097,134.5054955,78.55844504,39.02080658,68.86784738,76.42651356,35.40298346,42.83244166,75.13443387,27.39208939,25.7123858,262.2921767,74.68220598,61.89061707,173.2678862,51.61858354,99.94236388,77.58938528,16.5580012,22.99901845,66.86512387,193.1013094,57.10992222,83.20993192,0,2.263480698,24.19632215,5.959544116,35.68563556,4.724657811,43.25110491,6.084178813,97.83250655,3.88659692,58.36485261,0.689072288,12.66116608,1.36381875,2.326514338,7.46275386,49.42108094,21.07114818,287.1147239,20.05798403,112.5732024,175.4240408,27.51807167,340.2765135,47.48540416,417.3169826,57.89433273,655.1785975,56.05730615,696.1877497,34.02898446,206.1015849,10.85952,72.52655609,3.010164026,16.65321922,0
9_A_78-80_EDGE,986.8263158,12323.55939,0,10.83679029,291.3126262,41.37683565,732.6655398,1307.705039,458.1991966,168.7583797,61.57267209,57.82905363,21.5750643,44.62787273,16.25518543,66.89255096,71.62133218,0,5.71394397,112.3085539,0,82.55663874,35.76140795,18.52105977,62.95189995,6.108009072,15.50646174,9.95014381,44.82490528,0,6.206525347,26.69791062,5.171306984,5.953641018,25.79173554,7.34603755,62.190024,11.29405859,93.35062562,8.389149594,73.34816193,5.014840178,64.80254553,1.291246273,18.3982838,0.902449966,2.941259871,3.881257034,56.83068915,27.49410691,404.9463534,17.89192188,122.2287484,117.6604192,32.5840502,202.9835732,41.26639975,239.7797969,31.21831886,343.56977,37.61229721,298.8175303,26.80703467,138.3370869,9.994797737,41.39259669,4.652460563,20.1298143,0
1_A_48-50_EDGE,59.3,26.772938,320.6164215,50.13648933,607.1657413,76.23317481,217.6437857,271.3798179,220.2148878,177.0203739,67.74853815,85.23203187,81.37537884,130.9976478,40.62341187,40.88052207,117.4993622,0,8.227526455,236.1557203,0,143.981713,91.53123181,58.74968109,88.83157469,33.03866092,24.07837039,18.64048962,18.12626922,11.69851418,29.4391181,40.62341187,5.387132068,2.802444802,14.67969819,4.748061041,22.80773489,4.151594748,66.76635385,5.761106965,100.8880129,5.429736803,66.39237896,2.163373774,21.80415668,2.357462012,3.985909667,0,0,9.248443824,149.2814957,27.01955673,127.7570906,149.1363408,32.6805997,347.3557903,95.65711067,652.284863,117.0363609,625.4311977,87.23812369,534.2738904,57.95829706,279.2781198,20.07285565,67.97398846,2.633525483,1.389340216,0.37325558
1_C_18-20_EDGE,229.8,3164.735032,12.5426903,16.3156947,282.2615183,102.5849304,343.2414272,393.2082423,76.68376509,48.53919173,51.59838449,35.0787436,25.90116534,35.48663597,12.23677102,25.90116534,17.13147943,0,11.72690557,236.9854655,31.81560466,83.92385461,36.20044761,30.0820621,92.7955136,118.2887866,0,2.549327297,4.486816042,22.84197258,5.506546961,17.33542562,0,23.32006674,159.2124557,64.51885132,99.00428336,31.41142324,349.2356662,16.50071389,127.2003641,0.777335558,39.53811316,20.21072451,96.49560951,48.72480612,8.16202336,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
2_C_8-10_EDGE,494.8,6936.603052,75.23738739,29.02013514,247.4235225,54.70832883,182.5044054,387.794991,141.6612523,88.24270721,69.00343244,32.02963063,33.10445045,69.11091442,30.09495496,38.90847748,28.37524325,0,15.36992342,293.2108469,57.39537838,70.4006982,96.62630181,68.46602253,108.6642838,111.3513333,9.07147928,19.02431081,23.00114415,289.5564595,26.8704955,69.64832433,0,10.9289124,86.39992835,102.6666374,97.05742736,14.42109799,99.02969798,11.07366621,125.8091522,3.347431779,58.53482057,8.124307399,27.7384482,9.445185884,3.763598973,12.93347645,52.32417815,34.75044679,263.1060244,29.79089865,105.7385746,201.7219008,26.85214057,321.6774267,51.18984694,427.6029559,64.60016262,737.45603,62.9616842,752.6875775,25.77032469,174.3887198,9.015832536,40.09860841,1.170041641,6.845898936,0
4_B_68-70_EDGE,904.3,11236.14507,0,0,95.42411766,39.82576811,270.8940861,436.1118766,457.4048615,260.2475936,42.9802844,49.68363151,28.78496111,46.52911522,11.43512154,29.57359018,92.26960137,0,5.914718036,260.6419081,207.0151313,97.79000487,195.5800097,5.914718036,173.1040812,49.68363151,9.463548858,17.34983957,45.34617161,248.8124721,21.68729947,31.54516286,2.716259424,6.834935398,38.94289326,51.32844574,98.27249448,28.16642924,297.7551771,25.14016195,267.4482173,12.00173322,115.2934027,3.601996193,22.97010687,11.45552887,7.824008123,1.01326917,20.35460207,20.73696779,266.8657847,16.80497359,100.6322859,143.4253833,30.46180272,350.2342582,65.00854594,532.8967375,104.4686887,715.2214605,93.15066326,660.9765097,69.46310663,309.0662152,34.54037045,99.70823544,8.392927654,15.70248575,0
1_B_58-60_EDGE,169.8,1778.97214,16.35325908,22.87169102,384.2444092,112.071286,614.2192625,1052.212146,119.3902271,110.2415507,65.18431942,53.06232318,33.50702735,61.29613195,21.84246493,84.39653988,46.65824969,0,22.4142572,176.1120209,40.71161002,93.08778247,68.95814844,20.1270881,74.56171274,32.93523508,6.975865763,9.37739332,15.78146681,6.975865763,11.09277015,53.86283236,0,4.371970407,21.45233301,5.736273229,28.57062728,7.556820177,93.49017975,6.267819783,58.37267074,2.157193099,29.21734225,3.623375677,22.26294151,13.5278598,2.697598762,5.334247924,37.7272663,32.75775328,228.5337705,29.57544127,87.16252292,150.2023913,44.9946092,368.7652215,66.23585799,547.1935349,129.8866574,636.02472,100.3932814,705.4839227,43.50375529,245.5760087,16.61823392,87.24914746,3.756769478,18.47838191,0
2_A_58-60_EDGE,345.3,4301.257538,19.28839651,24.11049564,315.906299,101.499306,469.2725737,695.6760084,166.0683895,146.6623808,65.98042953,41.63470955,41.63470955,49.0442765,19.87645738,53.86637563,48.5738278,0,25.75706607,293.0895373,84.68076518,68.92073388,77.27119822,56.80667997,151.9549286,143.4868521,3.775350781,25.40422955,1.764182608,148.3089512,16.34809217,44.81023824,0,2.095696218,11.26362925,10.62016196,28.66085955,6.653097572,73.98693157,2.668323073,70.84043555,1.623426648,40.76276729,2.71555003,22.01956872,8.666146616,2.255087198,4.975311332,36.16878522,29.26519966,242.112111,25.58601605,91.17007887,170.7341298,45.56912207,419.3268794,79.68684202,611.8677897,212.4876338,990.9965184,137.7670075,1173.532232,59.71283162,418.0807777,24.51727915,134.2788322,6.621620932,35.96413347,0
