sample,XRF_true_surface,age_BP_1950,PSI_ROT21_eq
1_A_18-20_EDGE,29.3,-10.3871785,0.634981688
1_A_28-30_EDGE,39.3,4.047767,0.490933512
1_A_48-50_EDGE,59.3,26.772938,0.590352862
1_A_58-60_EDGE,#NV,#NV,#NV
1_A_68-70_EDGE,79.3,443.318086,#NV
1_A_78-80_EDGE,89.3,507.73121,0.150730099
1_A_8-10_EDGE,19.3,-17.289543,0.472815443
1_A_98-100_EDGE,109.3,799.23093,0.555014869
1_B_18-20_EDGE,129.8,1291.21188,0.360577238
1_B_28-30_EDGE,139.8,1320.182156,0.543277253
1_B_38-40_EDGE,149.8,1503.26506,0.587618206
1_B_58-60_EDGE,169.8,1778.97214,0.579110651
1_B_68-70_EDGE,179.8,2052.7476,0.584472978
1_B_78-80_EDGE,189.8,2300.52796,0.592390834
1_B_8-10_EDGE,119.8,1073.98394,0.401862592
1_C_18-20_EDGE,229.8,3164.735032,0.622442096
1_C_28-30_EDGE,239.8,3411.46018,0.643942801
1_C_38-40_EDGE,249.8,3447.26196,0.429412077
1_C_48-50_EDGE,259.8,3498.179666,0.616757448
1_C_8-10_EDGE,219.8,3107.96384,0.564274705
2_A_58-60_EDGE,345.3,4301.257538,0.592530498
2_A_68-70_EDGE,355.3,4448.82176,0.609673617
2_A_78-80_EDGE,365.3,4626.04132,0.466924308
2_A_88-90_EDGE,375.3,4827.85237,0.539024632
2_A_98-100_EDGE,385.3,4974.434339,0.574207158
2_B_18-20_EDGE,404.8,5419.91659,0.466342582
2_B_38-40_EDGE,424.8,5953.54755,0.580649454
2_B_48-50_EDGE,434.8,6058.197182,0.578886782
2_B_68-70_EDGE,454.8,6357.42537,0.519348575
2_B_78-80_EDGE,464.8,6627.66333,0.464185674
2_B_8-10_EDGE,394.8,5102.59771,0.55081261
2_B_98-100_EDGE,484.8,6914.589826,0.50835384
2_C_18-20_EDGE,504.8,7029.95075,0.537327495
2_C_28-30_EDGE,514.8,7140.875294,0.547201082
2_C_38-40_EDGE,524.8,7179.905794,#NV
2_C_8-10_EDGE,494.8,6936.603052,0.528660665
3_A_38-40_EDGE,597.3,7924.68915,0.532697548
3_A_48-50_EDGE,607.3,8019.649601,0.447352936
3_A_58-60_EDGE,617.3,8102.702282,0.46135887
3_A_68-70_EDGE,627.3,8200.89188,0.536697853
3_A_98-100_EDGE,657.3,8532.09519,0.544751023
3_B_18-20_EDGE,677.8,8657.04177,#NV
3_B_28-30_EDGE,687.8,8729.743282,0.386783431
3_B_38-40_EDGE,697.8,8956.93219,0.357882001
3_B_48-50_EDGE,707.8,9023.302667,0.457460317
3_B_58-60_EDGE,717.8,9114.46956,0.492036799
3_B_8-10_EDGE,667.8,8573.081766,#NV
4_A_58-60_EDGE,794.3,9720.127918,0.369417014
4_B_18-20_EDGE,854.3,10719.71486,0.472967159
4_B_28-30_EDGE,864.3,10881.99338,0.256041603
4_B_38-40_EDGE,874.3,10943.70193,0.304146473
4_B_48-50_EDGE,884.3,11010.92086,0.277896252
4_B_58-60_EDGE,894.3,11124.28358,0.435370224
4_B_68-70_EDGE,904.3,11236.14507,0.31025641
4_B_8-10_EDGE,844.3,10362.2459,0.187322611
4_C_18-20_EDGE,954.8,11849.7688,0.457697102
4_C_48-50_EDGE,968.3,12153.5278,0.657858603
4_C_58-60_EDGE,978.3,12257.7559,0.683915342
4_C_78-80_EDGE,#NV,#NV,#NV
4_C_8-10_EDGE,944.8,11748.00497,0.519097222
6_B_68-70_EDGE,256.1181818,3479.286158,0.615112161
6_B_78-80_EDGE,266.1181818,3532.042874,0.532013479
6_B_88-90_EDGE,278.8454545,3639.150413,0.589737499
6_B_98-100_EDGE,291.5727273,3775.041999,0.529786829
6_C_18-20_EDGE,307.233775,4077.487317,0.562152412
6_C_28-30_EDGE,313.8562914,4087.188606,0.458510764
7_B_58-60_EDGE,511.2029851,7131.72474,#NV
7_B_68-70_EDGE,523.8895522,7175.011746,0.561950147
7_B_78-80_EDGE,536.5761194,7336.444838,0.526509347
7_B_88-90_EDGE,549.2626866,7473.12724,0.563905972
7_B_98-100_EDGE,558.6114286,7488.574714,0.537330689
7_C_18-20_EDGE,576.0657143,7754.296403,0.489001871
7_C_28-30_EDGE,584.58,7810.472221,0.540366415
8_A_68-70_EDGE,653.3188679,8488.309903,0.507560297
8_A_78-80_EDGE,664.9789474,8568.997954,0.48667767
8_A_88-90_EDGE,679.8210526,8677.971387,0.466583412
8_A_98-100_EDGE,694.6631579,8871.228331,#NV
8_B_18-20_EDGE,723.6052632,9165.784265,0.388224926
8_B_28-30_EDGE,738.55,9281.709377,0.477128662
8_B_38-40_EDGE,747.9857143,9336.179104,0.500375727
8_B_48-50_EDGE,756.7117647,9401.071203,0.498003648
9_A_78-80_EDGE,986.8263158,12323.55939,0.557566844
9_A_88-90_EDGE,1001.149462,12453.60637,0.463712743
9_A_98-100_EDGE,1009.966667,12795.57638,0.568350368
